entity_id,entity_name,segment,owner
TRA001,Trade workflow 1,Strategic,Customer
TRA002,Trade workflow 2,Watch,Operations
TRA003,Trade workflow 3,Strategic,Product
TRA004,Trade workflow 4,Growth,Analytics
TRA005,Trade workflow 5,Strategic,Revenue
TRA006,Trade workflow 6,Strategic,Operations
TRA007,Trade workflow 7,Core,Revenue
TRA008,Trade workflow 8,Watch,Analytics
TRA009,Trade workflow 9,Growth,Revenue
TRA010,Trade workflow 10,Watch,Analytics
TRA011,Trade workflow 11,Strategic,Product
TRA012,Trade workflow 12,Watch,Customer
TRA013,Trade workflow 13,Strategic,Customer
TRA014,Trade workflow 14,Growth,Operations
TRA015,Trade workflow 15,Core,Product
TRA016,Trade workflow 16,Strategic,Customer
TRA017,Trade workflow 17,Growth,Operations
TRA018,Trade workflow 18,Growth,Product
TRA019,Trade workflow 19,Growth,Analytics
TRA020,Trade workflow 20,Core,Analytics
TRA021,Trade workflow 21,Watch,Operations
TRA022,Trade workflow 22,Growth,Revenue
TRA023,Trade workflow 23,Growth,Operations
TRA024,Trade workflow 24,Core,Product
TRA025,Trade workflow 25,Core,Analytics
TRA026,Trade workflow 26,Watch,Customer
TRA027,Trade workflow 27,Core,Analytics
TRA028,Trade workflow 28,Growth,Product
TRA029,Trade workflow 29,Growth,Product
TRA030,Trade workflow 30,Strategic,Analytics
TRA031,Trade workflow 31,Watch,Analytics
TRA032,Trade workflow 32,Growth,Operations
TRA033,Trade workflow 33,Watch,Customer
TRA034,Trade workflow 34,Core,Operations
TRA035,Trade workflow 35,Core,Revenue
TRA036,Trade workflow 36,Core,Revenue
