action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,TRA030,escalate,15,2.8,Proposed
ACT0002,TRA001,validate,21,8.9,Proposed
ACT0003,TRA036,validate,11,21.9,In Review
ACT0004,TRA013,validate,29,3.2,Ready
ACT0005,TRA027,document,33,2.4,Proposed
ACT0006,TRA025,prioritize,31,14.8,Complete
ACT0007,TRA017,escalate,5,11.7,In Review
ACT0008,TRA016,monitor,30,8.0,Ready
ACT0009,TRA018,automate,18,10.1,Ready
ACT0010,TRA010,validate,39,3.5,In Review
ACT0011,TRA030,automate,43,11.6,Proposed
ACT0012,TRA017,automate,2,18.2,Proposed
ACT0013,TRA031,validate,3,17.6,Ready
ACT0014,TRA007,validate,21,20.5,Complete
ACT0015,TRA019,prioritize,39,14.4,Complete
ACT0016,TRA003,automate,9,13.8,Proposed
ACT0017,TRA030,prioritize,36,17.9,Complete
ACT0018,TRA014,document,36,3.0,Proposed
ACT0019,TRA010,document,12,10.3,Ready
ACT0020,TRA032,automate,25,19.2,Complete
ACT0021,TRA016,validate,15,23.4,Proposed
ACT0022,TRA009,validate,17,10.1,Proposed
ACT0023,TRA012,escalate,40,9.4,Ready
ACT0024,TRA014,document,30,10.8,Complete
ACT0025,TRA024,monitor,30,9.3,Proposed
ACT0026,TRA032,escalate,11,14.6,Complete
ACT0027,TRA026,document,17,23.2,Proposed
ACT0028,TRA002,automate,18,9.7,In Review
ACT0029,TRA023,document,27,14.4,In Review
ACT0030,TRA003,escalate,7,23.6,In Review
ACT0031,TRA031,monitor,33,7.0,Proposed
ACT0032,TRA014,monitor,39,3.3,Ready
ACT0033,TRA014,validate,30,20.6,Ready
ACT0034,TRA035,automate,10,21.0,Ready
ACT0035,TRA001,monitor,32,17.1,Proposed
ACT0036,TRA035,validate,8,6.8,Ready
ACT0037,TRA016,monitor,28,10.5,Complete
ACT0038,TRA020,document,6,23.3,Ready
ACT0039,TRA001,monitor,28,4.0,Proposed
ACT0040,TRA028,escalate,27,11.0,Proposed
ACT0041,TRA024,escalate,19,11.1,Ready
ACT0042,TRA028,document,43,19.2,Ready
ACT0043,TRA013,validate,38,9.0,Proposed
ACT0044,TRA022,automate,15,4.5,Complete
ACT0045,TRA033,automate,27,4.2,In Review
ACT0046,TRA010,document,16,7.1,Complete
ACT0047,TRA011,automate,19,23.5,Proposed
ACT0048,TRA003,prioritize,14,2.9,Ready
ACT0049,TRA013,automate,21,9.2,In Review
ACT0050,TRA024,validate,20,20.7,Complete
ACT0051,TRA025,prioritize,34,23.8,In Review
ACT0052,TRA024,escalate,17,22.2,Proposed
ACT0053,TRA013,prioritize,4,7.9,Complete
ACT0054,TRA020,automate,9,17.7,Ready
ACT0055,TRA031,escalate,36,23.8,Complete
ACT0056,TRA022,prioritize,29,4.0,Complete
ACT0057,TRA032,document,7,6.6,Proposed
ACT0058,TRA023,monitor,12,15.1,Ready
ACT0059,TRA014,prioritize,22,9.9,In Review
ACT0060,TRA035,validate,5,16.2,Ready
ACT0061,TRA004,document,15,4.2,Proposed
ACT0062,TRA025,prioritize,15,5.7,Ready
ACT0063,TRA025,document,41,6.9,Proposed
ACT0064,TRA031,automate,3,21.1,Proposed
ACT0065,TRA028,validate,12,18.8,Proposed
ACT0066,TRA019,validate,20,6.9,Proposed
ACT0067,TRA012,validate,3,19.4,Complete
ACT0068,TRA021,automate,44,7.1,In Review
ACT0069,TRA020,document,33,18.1,In Review
ACT0070,TRA032,validate,27,6.5,Complete
ACT0071,TRA020,escalate,2,18.5,Proposed
ACT0072,TRA021,validate,13,8.7,Ready
ACT0073,TRA021,validate,26,4.7,In Review
ACT0074,TRA026,validate,33,14.3,Ready
ACT0075,TRA035,automate,31,17.0,Proposed
ACT0076,TRA007,escalate,33,5.4,Proposed
ACT0077,TRA015,prioritize,3,4.1,Proposed
ACT0078,TRA029,document,11,16.8,In Review
ACT0079,TRA021,monitor,33,17.3,Complete
ACT0080,TRA012,escalate,14,7.3,Complete
ACT0081,TRA002,automate,8,17.7,Complete
ACT0082,TRA016,monitor,18,10.2,Proposed
ACT0083,TRA008,escalate,28,18.6,Proposed
ACT0084,TRA010,monitor,25,20.7,Complete
ACT0085,TRA013,monitor,5,8.9,Ready
ACT0086,TRA021,automate,22,9.8,Proposed
ACT0087,TRA030,prioritize,27,9.4,Ready
ACT0088,TRA021,prioritize,40,13.0,Ready
ACT0089,TRA026,automate,16,17.4,Complete
ACT0090,TRA020,validate,14,22.6,In Review
ACT0091,TRA005,document,26,12.4,Proposed
ACT0092,TRA030,document,39,23.2,In Review
ACT0093,TRA001,escalate,31,17.5,In Review
ACT0094,TRA016,validate,17,23.4,Proposed
ACT0095,TRA024,escalate,32,8.3,Complete
ACT0096,TRA015,escalate,30,19.0,Proposed
ACT0097,TRA029,monitor,37,2.3,In Review
ACT0098,TRA001,validate,10,22.9,Ready
ACT0099,TRA013,prioritize,12,13.5,Ready
ACT0100,TRA018,validate,2,10.3,Proposed
ACT0101,TRA005,validate,16,8.4,Complete
ACT0102,TRA036,document,13,12.6,Proposed
ACT0103,TRA031,document,40,18.7,Complete
ACT0104,TRA029,document,36,9.1,Proposed
ACT0105,TRA008,monitor,17,22.0,Ready
ACT0106,TRA027,monitor,42,18.8,Proposed
ACT0107,TRA017,escalate,33,8.5,In Review
ACT0108,TRA014,document,27,4.1,Ready
ACT0109,TRA006,document,16,22.5,In Review
ACT0110,TRA025,validate,30,17.9,Complete
ACT0111,TRA019,document,10,20.6,Proposed
ACT0112,TRA017,escalate,5,13.5,Proposed
ACT0113,TRA006,escalate,10,4.3,Complete
ACT0114,TRA012,prioritize,33,21.9,Complete
ACT0115,TRA003,document,14,13.6,Complete
ACT0116,TRA017,validate,29,21.7,Complete
ACT0117,TRA007,prioritize,11,23.5,In Review
ACT0118,TRA018,automate,7,9.5,Ready
ACT0119,TRA034,prioritize,18,21.9,Ready
ACT0120,TRA008,prioritize,39,5.4,In Review
ACT0121,TRA031,document,26,12.5,Proposed
ACT0122,TRA031,monitor,24,22.3,Complete
ACT0123,TRA027,validate,23,22.0,Proposed
ACT0124,TRA017,monitor,6,20.2,Ready
ACT0125,TRA003,monitor,31,12.8,Ready
ACT0126,TRA018,prioritize,39,3.1,Proposed
ACT0127,TRA002,document,8,23.8,In Review
ACT0128,TRA032,escalate,17,14.7,In Review
ACT0129,TRA024,document,35,9.1,Complete
ACT0130,TRA030,document,12,14.3,In Review
ACT0131,TRA023,automate,33,19.9,Proposed
ACT0132,TRA011,escalate,38,13.3,Complete
ACT0133,TRA036,automate,21,3.3,Ready
ACT0134,TRA017,automate,9,6.4,Ready
ACT0135,TRA035,automate,21,9.4,Proposed
ACT0136,TRA031,validate,21,16.7,Ready
ACT0137,TRA017,monitor,16,6.2,Complete
ACT0138,TRA005,prioritize,29,6.4,Complete
ACT0139,TRA010,document,40,3.8,Complete
ACT0140,TRA007,prioritize,29,7.6,In Review
ACT0141,TRA008,automate,36,4.5,Proposed
ACT0142,TRA027,automate,39,16.1,In Review
ACT0143,TRA004,escalate,6,22.5,In Review
ACT0144,TRA005,document,13,15.2,Proposed
ACT0145,TRA015,automate,23,7.3,In Review
ACT0146,TRA002,escalate,22,16.9,Ready
ACT0147,TRA024,validate,20,20.3,In Review
ACT0148,TRA007,escalate,44,22.9,Ready
ACT0149,TRA008,monitor,12,21.5,Ready
ACT0150,TRA033,prioritize,40,22.1,In Review
ACT0151,TRA005,automate,35,4.5,Proposed
ACT0152,TRA036,automate,8,11.1,Proposed
ACT0153,TRA034,prioritize,8,6.8,Ready
ACT0154,TRA014,automate,16,9.7,Proposed
ACT0155,TRA023,prioritize,35,10.7,Proposed
ACT0156,TRA016,validate,16,20.6,Ready
ACT0157,TRA006,automate,25,20.8,In Review
ACT0158,TRA030,monitor,4,18.9,Ready
ACT0159,TRA035,automate,14,8.1,Ready
ACT0160,TRA007,validate,11,11.0,In Review
ACT0161,TRA003,prioritize,4,22.9,Ready
ACT0162,TRA020,prioritize,8,13.4,Ready
ACT0163,TRA029,escalate,3,7.7,Proposed
ACT0164,TRA030,prioritize,7,3.6,Proposed
ACT0165,TRA024,escalate,43,19.7,Ready
ACT0166,TRA014,automate,19,23.2,Proposed
ACT0167,TRA011,automate,10,15.2,Ready
ACT0168,TRA024,automate,28,9.9,Proposed
ACT0169,TRA008,validate,7,11.1,Ready
ACT0170,TRA028,automate,6,5.2,In Review
ACT0171,TRA010,escalate,38,3.9,Ready
ACT0172,TRA010,document,42,2.4,In Review
ACT0173,TRA030,prioritize,8,11.2,Proposed
ACT0174,TRA023,automate,23,10.6,Ready
ACT0175,TRA003,validate,31,20.8,Proposed
ACT0176,TRA033,automate,6,13.5,Complete
ACT0177,TRA035,validate,24,10.5,Complete
ACT0178,TRA019,automate,11,21.6,Proposed
ACT0179,TRA012,automate,43,20.0,Ready
ACT0180,TRA024,document,39,12.7,Ready
ACT0181,TRA020,escalate,31,11.9,Complete
ACT0182,TRA029,prioritize,31,13.7,Proposed
ACT0183,TRA027,automate,37,8.1,Complete
ACT0184,TRA030,validate,20,12.3,Complete
ACT0185,TRA018,escalate,24,15.8,Ready
ACT0186,TRA023,validate,19,12.1,Proposed
ACT0187,TRA031,automate,31,19.9,In Review
ACT0188,TRA005,automate,32,17.3,Complete
ACT0189,TRA013,automate,37,11.9,In Review
ACT0190,TRA011,prioritize,22,6.2,Complete
ACT0191,TRA014,monitor,6,13.1,Proposed
ACT0192,TRA008,document,5,18.0,Ready
ACT0193,TRA005,document,6,16.3,In Review
ACT0194,TRA031,monitor,10,7.3,Proposed
ACT0195,TRA020,monitor,36,3.7,Complete
ACT0196,TRA007,validate,14,3.6,Complete
ACT0197,TRA013,prioritize,30,3.4,Ready
ACT0198,TRA006,escalate,5,14.5,In Review
ACT0199,TRA021,automate,9,14.3,In Review
ACT0200,TRA027,automate,37,7.5,In Review
ACT0201,TRA008,document,20,2.7,Proposed
ACT0202,TRA009,monitor,39,8.9,In Review
ACT0203,TRA001,validate,41,13.2,In Review
ACT0204,TRA006,monitor,5,21.0,Proposed
ACT0205,TRA015,prioritize,16,21.3,Ready
ACT0206,TRA036,escalate,30,16.1,In Review
ACT0207,TRA003,document,9,22.1,Ready
ACT0208,TRA019,monitor,21,16.4,Proposed
ACT0209,TRA015,escalate,16,8.8,Ready
ACT0210,TRA027,validate,19,17.2,In Review
ACT0211,TRA020,monitor,44,8.0,Ready
ACT0212,TRA012,automate,23,14.4,Proposed
ACT0213,TRA036,validate,42,20.2,Complete
ACT0214,TRA018,prioritize,17,20.6,Proposed
ACT0215,TRA015,escalate,4,15.2,Proposed
ACT0216,TRA009,automate,26,9.2,Proposed
ACT0217,TRA005,escalate,10,11.2,Ready
ACT0218,TRA026,automate,30,22.8,Ready
ACT0219,TRA033,escalate,9,5.8,Complete
ACT0220,TRA023,escalate,28,5.1,Complete
